stationName,netType,latDD,lonDD,elev,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,pJan,pFeb,pMar,pApr,pMay,pJun,pJul,pAug,pSep,pOct,pNov,pDec,pdType,pdStartYr,pdEndYr,awc,maatmast,cntryCode,stProvCode,notes,stationID
WILLIAMSPORT,HCN,41.24,-76.92,520,27.8,21.9,35.9,48,63.6,70,72.9,72.1,62.3,57.1,40.6,27.3,2.37,2.96,2.64,5.6,3.97,2.71,4.55,3.04,0.9,2.83,2.31,5.32,actual,1914,1914,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.4,33.2,33.9,55.6,56.5,67.1,71,69,66.8,55.2,42.1,29.5,6.85,2.69,0.95,2.33,4.33,3.96,6.31,6.05,1.61,1.52,2.84,4.15,actual,1915,1915,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,32.8,26.4,30.6,48.5,62.6,64.3,75.3,73,63.6,53,41.2,30.9,1.94,2.81,5.34,5.43,4.23,10.32,4.23,1.29,4.82,2.37,1.34,2.04,actual,1916,1916,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.4,26.2,37.5,49.5,53.9,67.1,73.1,72.4,60.2,47.6,37.8,21.3,2.98,1.14,2.93,2.26,3.03,4.46,3.91,7.97,1.71,6.16,0.53,2.01,actual,1917,1917,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,16.5,26.8,42.5,48.7,67.1,67.2,72.2,75.3,60.2,55.7,42.3,36.3,3.24,2.24,2.65,4.97,4.38,3.34,2.45,4.27,5.88,3.21,1.9,2.07,actual,1918,1918,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,31,32.5,41.4,49.9,60.1,72.6,74.4,70.2,66.2,56.7,41.6,25.4,1.64,2.13,4.3,1.92,9.91,4.47,4.68,4.32,0.46,4.17,4.35,1.97,actual,1919,1919,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,20.4,26.2,39,46.8,58.4,68.7,71.7,71.7,65.4,58.1,41.3,34,2.45,2.15,3.73,3.64,1.79,5.31,3.65,7.76,3.94,1.34,4.03,3.03,actual,1920,1920,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.6,32.9,47.1,57.3,60.9,71.4,78.2,69.1,70.1,52.9,42.2,31.4,2.75,2.37,2.93,3.78,4.02,1.41,3.76,3.92,3.27,2.9,6.21,2.58,actual,1921,1921,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,23.9,32.4,41.1,51.1,64.5,70.6,73,70.6,67.7,56,42.7,30.2,2.31,1.29,3.49,3,6.1,6.94,4.39,1.97,2.48,2.4,0.77,2.71,actual,1922,1922,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.2,24.8,37.6,50.2,58.9,73.3,73.5,70.3,65.3,51.8,40.7,39.3,4.26,1.93,2.25,1.93,3.79,1.88,4.3,2.27,5.4,2.93,2.28,4.4,actual,1923,1923,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.3,27.4,37.6,48.6,56.6,67.6,71.7,71.9,60.5,53.1,40.9,29.2,4.28,2.24,1.81,5.03,5.69,4.75,3.02,3.42,5.91,0.33,1.38,1.31,actual,1924,1924,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,24.1,35.1,40.9,53.5,56.7,73.7,72.1,71,68.4,46.7,40.3,31.8,2.33,2.06,2.3,1.36,4.15,2.19,4.59,1.43,4.75,3.33,3.55,2.21,actual,1925,1925,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
