stationName,netType,latDD,lonDD,elev,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,pJan,pFeb,pMar,pApr,pMay,pJun,pJul,pAug,pSep,pOct,pNov,pDec,pdType,pdStartYr,pdEndYr,awc,maatmast,cntryCode,stProvCode,notes,stationID
WILLIAMSPORT,HCN,41.24,-76.92,520,22.8,20.5,34.4,48.3,60.7,68.4,72.1,74.8,65,52.5,43.7,32.5,8.25,0.86,2.7,2.01,6.36,4.6,3.99,3.56,2.84,2.76,1.78,3.68,actual,1978,1978,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.7,19.6,42.3,48.3,60.9,67,72.6,71,62.8,50.8,44.8,35,6.36,3.2,3.18,2.73,4,2.23,4.24,5.54,5.83,4.08,4.07,1.9,actual,1979,1979,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28,25.7,36.9,51.3,61.4,65.7,73.7,75.4,66.8,49.5,37.1,25,0.88,0.77,5.96,6.72,1.71,3.5,1.82,1.82,3.32,3.19,2.68,1.18,actual,1980,1980,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,20.3,33.2,36.5,51.8,62.5,70.8,74.4,72.3,64.5,51.3,42.1,30.2,0.68,8.42,0.86,2.93,2.07,5.51,4.09,1.02,2.1,4.03,1.46,1.95,actual,1981,1981,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,19.3,28.3,35.6,46.1,62.1,64.5,71.1,66.6,63,52,43.8,36.9,3.37,1.93,2.13,2.96,3.53,9.23,1.81,1,2.59,0.59,3,1.35,actual,1982,1982,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,29.2,31.5,41,47.8,56.2,66.3,72.2,71.1,62,49.9,40.1,26.6,1.79,1.87,3.05,7.03,4.51,5.55,3.38,3.68,1.88,3.01,5.89,6.54,actual,1983,1983,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,20.9,34.7,30.4,47.4,55.8,68.6,70.6,72.1,60.6,56.7,40.2,35.6,1.09,4.83,3.63,4.58,4.89,5.15,6.42,3.6,0.62,2.78,4.76,2.34,actual,1984,1984,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,23.3,29.9,40.1,53.3,61,64.3,70.9,70.1,65.3,52.9,45.1,27.9,0.52,1.12,2.81,1.18,3.98,2.49,3.47,4.28,2.58,1.83,5.99,1.42,actual,1985,1985,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.3,27.5,40.6,51.1,63.6,67.5,72.6,68.3,62.9,52.3,37.4,33.4,2.18,2.49,2.65,4.25,3.93,4.71,5.78,3.31,1.78,2,6.13,3.99,actual,1986,1986,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,25.3,27.2,40.5,52.2,61.2,70.5,75.4,69.9,63,47.5,41.2,33.7,2.68,0.78,1.77,2.63,2.21,2.3,3.69,4.04,4.99,2.7,3.26,1.63,actual,1987,1987,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,22.5,28.4,39.9,48.1,61.1,67.8,77.4,74.4,61.3,47.7,42.5,30.5,1.39,3.09,1.09,1.28,4.27,0.99,4.71,7.67,2.62,2.3,3.67,1.14,actual,1988,1988,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,31.3,28.9,37.8,47.6,57.9,69.2,72.9,70.8,63.7,53.6,39.9,19.8,1.58,1.75,3.32,0.7,7.29,5.74,3.42,2.94,4.28,4.26,2.06,0.68,actual,1989,1989,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,35.5,34.3,41.3,51.6,57.6,69,72.6,71.4,62.4,55.7,44,35.3,2.37,2.37,1.51,2.57,5.01,2.48,5.07,5.45,1.98,9.6,2.68,5.73,actual,1990,1990,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.1,33.7,41.7,52,67.1,71.6,75.2,74,62.6,54.2,42,34,2.02,1.7,3.84,2.44,1.79,1.36,3.98,3.54,3.35,2.24,3.29,3.2,actual,1991,1991,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,30.5,32.1,37.2,48.7,58.7,66.8,71.4,69.4,63.7,49.3,43.1,32.9,2.01,1.4,4.33,2.1,3.47,2.9,9.65,2.47,4.16,1.51,4.74,2.35,actual,1992,1992,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,32.3,25.3,35.2,50.4,62.1,69.2,76.6,73.2,62.6,50,40.6,30.6,1.81,1.28,4.3,7.55,2.43,4.01,1.84,4.62,4.71,3.08,4,2.66,actual,1993,1993,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,18.5,23.9,35.5,53.3,57.3,71.4,75,68.8,62.9,51,45.6,35.1,3.48,1.96,5.15,3.99,2.39,3.64,5.44,6.65,4.27,0.67,4.84,2.8,actual,1994,1994,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,32.2,25.6,42.1,47.4,59.2,70.1,75.9,75.9,62.1,54.9,35.7,25.2,4.65,1.31,0.85,2.41,2.29,2.56,2.87,0.93,1.17,7.9,4.04,1.47,actual,1995,1995,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,22.9,28.1,32.9,48.6,56,70,70.3,70.8,63.5,51.3,36.2,34.8,7.29,1.84,2.95,5.47,2.4,4.66,5.72,2.13,7.82,4.21,3.66,5.72,actual,1996,1996,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,25.4,33.1,38.2,47.2,54.5,67.8,71.9,68.6,62.2,51.4,37.3,32.6,1.17,1.13,2.93,1.45,2.63,2.53,1.54,5.9,3.14,0.65,5.09,1.9,actual,1997,1997,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,34.8,37,41.4,50.7,64.2,67.6,71.2,71.9,66,52.5,42.3,35.8,4.57,5.96,2.88,5.83,6.21,5.36,1.19,1.94,1.53,2.63,1.15,0.89,actual,1998,1998,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.5,32.3,36.5,49.3,61.5,69.5,76.3,70,64.5,49.7,45.2,33.5,4.91,1.96,3.46,2.44,2.45,2.94,3.66,3.86,12.6,1.95,2.89,2.36,actual,1999,1999,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26.1,32,44.3,49.4,61.9,69.1,69.3,69.9,61.7,52.8,40,24,1.93,2.45,3.61,5.18,4.55,5.02,6.29,2.3,3.29,2.37,2.24,2.68,actual,2000,2000,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,27.4,32.1,35.2,50,61.1,70,69.9,74.2,61.7,53,46.1,36.5,1.14,1.23,4.17,1.38,3.22,4.84,2.57,5.38,4.72,2.09,2.74,1.58,actual,2001,2001,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,33.7,35.6,39.5,51.7,57.1,69.8,74.6,74.3,66.8,50.8,40,28.3,1.66,1.26,4.6,2.58,6.38,4.27,2.47,1.2,4.64,7.27,3.29,3.36,actual,2002,2002,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,22.5,25.4,37,49.1,57.7,65.9,71.5,72.7,63.8,49.8,45.1,31.7,1.91,3.1,3.12,2.93,4.3,5.55,5.63,5.4,8.37,4.07,4.4,4.42,actual,2003,2003,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,20.7,27.6,40.2,50.6,65.2,66.7,71,70.2,66,52.1,43.6,31.6,2.57,1.72,2.46,3.4,6.05,3.29,7.99,3.07,10.61,2.74,3.54,4.16,actual,2004,2004,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,26,31.4,33.5,51.3,55.7,72.4,75.2,74,66.8,54,43.3,26.7,4.46,2.25,3.88,4.59,1.74,1.8,6.33,6.36,1.78,5.89,6.77,2.27,actual,2005,2005,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,35.2,30.9,39.7,51.7,59.6,68.3,75.5,72.5,61.9,51.1,45.4,37.8,5.59,1.55,1.15,2.4,3.43,6.42,3.83,6.33,5.49,5.4,3.84,2.48,actual,2006,2006,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,32,22.5,38,47.4,62.4,71.2,72.5,72.4,66,59.4,39.9,32.1,3.05,2.05,3.79,2.93,1.68,1.63,1.58,6.76,1.63,2.85,4.02,4.74,actual,2007,2007,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,30.1,28,38.3,53.4,56.5,71.9,73.4,68.8,65.2,50.6,40.9,32,2.26,5.21,5.1,2.13,3.44,4.07,5.71,1.65,6.8,2.36,2.41,3.98,actual,2008,2008,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,21.9,31.3,41.6,52.7,60.3,68.5,70,72.9,63.9,51.8,47.2,32.2,2.27,0.84,1.08,3.78,4.29,3.21,5.77,4.38,2.22,5.94,1.85,4.08,actual,2009,2009,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
WILLIAMSPORT,HCN,41.24,-76.92,520,28.8,30.2,46.5,56.3,63.5,71.4,76.1,72.5,65.1,52.1,42.5,28,4.56,1.38,2.55,1.91,2.86,3.2,4.48,3.75,6.98,2.89,4.51,4.03,actual,2010,2010,7.874,2.16,US,PA,gaps filled by interpolation of neighboring stations,
